código;status;detalhe do veredito
"86111";"🟡";"Provável com ressalvas: Analista de IA Pleno — Moot Consulting. Confirmar: stack central C#/.NET não está confirmada; senioridade abaixo do alvo principal."
"85749";"🟡";"Provável com ressalvas: Data Catalog Developer — K2 Partnering. Evidências: Data. Confirmar: stack central C#/.NET não está confirmada."
"85954";"🟡";"Provável com ressalvas: Cientista de Dados Senior — Nnumbers Tecnologia. Evidências: Dados. Confirmar: stack central C#/.NET não está confirmada."
"85965";"🟡";"Provável com ressalvas: Especialista ERP – Microsoft Dynamics 365 (FO) — Randstad Brasil Recursos Humanos LTDA. Confirmar: stack central C#/.NET não está confirmada."
"86086";"🟡";"Provável com ressalvas: Tech Lead — Argo Solutions. Confirmar: stack central C#/.NET não está confirmada."
"86084";"🟡";"Provável com ressalvas: Especialista em Segurança da Informação — Quatro Pró Soluções Conectividade Ltda. Evidências: Dados, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"85633";"🟡";"Provável com ressalvas: Especialista de Ansible — FábricaDS Soluções em Tecnologia. Confirmar: stack central C#/.NET não está confirmada."
"86091";"🟡";"Provável com ressalvas: Engenheiro de Inteligência Artificial — GTCON Tecnologia Serviços. Confirmar: stack central C#/.NET não está confirmada."
"86079";"🟡";"Provável com ressalvas: Desenvolvedor Mobile – Xamarin - Hibrido SP — Entrust IT. Evidências: React, Xamarin, DevOps. Confirmar: stack central C#/.NET não está confirmada."
"86089";"🟡";"Provável com ressalvas: Analista de Gestão de Perfil Pleno - IAM — ITEAM. Confirmar: stack central C#/.NET não está confirmada; senioridade abaixo do alvo principal."
"85925";"🟡";"Provável com ressalvas: LIMS Consultant — CIDIC Consultoria em TI. Confirmar: stack central C#/.NET não está confirmada."
"85947";"🟡";"Provável com ressalvas: Desenvolvedor LabWare LIMS — Entrust It. Evidências: SQL Server, Dados. Confirmar: stack central C#/.NET não está confirmada."
"86088";"🟡";"Provável com ressalvas: Analista de Segurança da Informação — Alatere RH. Evidências: Segurança. Confirmar: stack central C#/.NET não está confirmada."
"85203";"🟡";"Provável com ressalvas: Gerente de Análise de Negócios-Barueri/SP Hibrido — Entrust IT. Confirmar: stack central C#/.NET não está confirmada."
"84971";"🟡";"Provável com ressalvas: Líder Técnico de Projetos de TI — Topmind. Confirmar: stack central C#/.NET não está confirmada."
"85320";"🟡";"Provável com ressalvas: Analista de Negócios em TI exp como Desenvolvedor — Be Solution. Confirmar: stack central C#/.NET não está confirmada."
"6164725004";"🟡";"Provável com ressalvas: Engenheiro(a) de Plataforma de Analytics | Plataforma de Dados — Banco Pan. Evidências: Dados, Data, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"6162129004";"🟡";"Provável com ressalvas: Analista de Negócios PL (Sustentação de Produtos) — Banco Pan. Evidências: Dados, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"6005583004";"🟡";"Provável com ressalvas: Product Analytics Pl. - (Veículos)  — Banco Pan. Evidências: Dados, Data, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"5844468004";"🟡";"Provável com ressalvas: Engenheiro(a) de Software Full Stack (Pleno/Sênior) | Dados — Banco Pan. Evidências: Dados, Data, Segurança. Confirmar: stack central C#/.NET não está confirmada; senioridade abaixo do alvo principal."
"5837093004";"🟡";"Provável com ressalvas: Analista de Redes — Banco Pan. Evidências: AWS, Azure, Segurança, Security. Confirmar: stack central C#/.NET não está confirmada."
"84917";"🟡";"Provável com ressalvas: Especialista em IA — Grupo Dass. Evidências: Dados, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"85192";"🟡";"Provável com ressalvas: Engenheiro de dados — Emphasys. Evidências: AWS, Terraform, CI/CD, Dados. Confirmar: stack central C#/.NET não está confirmada."
"85021";"🟡";"Provável com ressalvas: Desenvolvedor Full-Stack Sênior — Tech For TI. Evidências: C#, .NET, SQL Server, AWS, React, Azure, Dados. Confirmar: confirmar atuação remota; o híbrido informado é em Jundiaí."
"85177";"🟡";"Provável com ressalvas: Desenvolvedor Full Stack - área da saúde — WTIME. Confirmar: stack central C#/.NET não está confirmada."
"85495";"🟡";"Provável com ressalvas: Analista Infraestrutura Sr — Cepesi Performance. Evidências: AWS, Terraform, CI/CD, Segurança, Security. Confirmar: stack central C#/.NET não está confirmada."
"85197";"🟡";"Provável com ressalvas: Analista de Qualidade - QA — Entrust IT. Evidências: CI/CD, DevOps, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"85064";"🟡";"Provável com ressalvas: Analista de Infraestrutura Sênior Cloud Virtua — Topmind. Evidências: AWS, Azure, DevOps, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"84926";"🟡";"Provável com ressalvas: Analista Inteligencia Artificial — Entrust IT. Confirmar: stack central C#/.NET não está confirmada."
"86044";"🟡";"Provável com ressalvas: Engenheiro de Dados PL — CS Technologies. Evidências: Dados, Data. Confirmar: stack central C#/.NET não está confirmada."
"85088";"🟡";"Provável com ressalvas: Especialista / Desenvolvedor Tech Lead — WTIME. Evidências: .NET, ASP.NET, SQL Server, React. Confirmar: profundidade da experiência e requisitos obrigatórios antes de avançar."
"85262";"🟡";"Provável com ressalvas: Engenheiro de Dados Sênior — Be Solution. Evidências: Dados, Data, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"85205";"🟡";"Provável com ressalvas: Analista de Governança de Dados Sr. — Entrust It. Evidências: Dados, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"85706";"🟡";"Provável com ressalvas: Desenvolvedor C# Sênior — Sys4web Brasil Desenv. de Software Ltda.. Evidências: C#, .NET, ASP.NET, SQL Server, WCF, Xamarin, Dados. Confirmar: local presencial em Piracicaba fora da região prioritária."
"85466";"🟡";"Provável com ressalvas: Especialista em Segurança da Informação — Spassu Tecnologia. Evidências: AWS, Segurança, Security. Confirmar: stack central C#/.NET não está confirmada."
"84887";"🟡";"Provável com ressalvas: Data engineer com AWS Pleno — Assurance IT. Evidências: AWS, Dados, Data. Confirmar: stack central C#/.NET não está confirmada; senioridade abaixo do alvo principal."
"85099";"🟡";"Provável com ressalvas: Analista Governança Dados Sênior — Venice Tecnologia. Evidências: AWS, Dados, Data, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"026b745f-bc2a-4661-8d4e-a711987c2f0b";"🟡";"Provável com ressalvas: Analista de Growth (Business Analytics) - Pleno — Neon. Confirmar: stack central C#/.NET não está confirmada; senioridade abaixo do alvo principal."
"85878";"🟡";"Provável com ressalvas: Desenvolvedores(as) .NET / React — Nexmuv. Evidências: .NET, React, Azure, CI/CD, DevOps. Confirmar: experiência em hospitais ou operadoras de saúde aparece como obrigatória."
