código;título;status;descrição
"84928";"Desenvolvedor Java";"✅";"Forte aderência: há evidência de SQL Server, parte da sua stack dominada."
"84931";"Analista Field Service - Pleno";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84932";"Analista de Sistemas Senior ADVPL";"✅";"Forte aderência: há evidência de SQL Server, parte da sua stack dominada."
"84969";"Desenvolvedor .Net - Híbrido Porto Alegre/RS";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"84974";"Desenvolvedor Logix";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"84976";"Analista de Negócios e Sistemas - SÃO CAETANO DO S";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"84979";"Hardware Environment Product Owner - SBC";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84994";"Analista Field";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84999";"Desenvolvedor IONIC";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85000";"Consultor Funcional Oracle Fusion Financials";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85006";"Analista de Suporte para sistema ERP";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85007";"Técnico de Suporte";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85009";"Técnico Instalador de CFTV";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85011";"consultor Funcional ERP Oracle- Híbrido RJ";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85020";"Consultor de Infraestrutura e Modern Workplace";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85031";"Gerente de Projetos / PMO Sênior";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85051";"ASSISTENTE DE TECNOLOGIA - VAGA EXCLUSIVA PCD";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85057";"Desenvolvedor DocuSign CLM - SP";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85060";"Desenvolvedor .NET";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85066";"Desenvolvedor(a) C# .NET SR";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85077";"CONSULTOR DE PMO apoio em Governança Corporativa";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85080";"Especialista HP Aruba";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85084";"Analista de Suporte - Dell Cyber Recovery";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85100";"ANALISTA DE CIBERSEGURANCA SENIOR N3";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85107";"ADMINISTRADOR DE REDE SENIOR (DevOps)";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85133";"Administrador de Redes Pleno";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85140";"Professor de Programação e Robótica";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85142";"ANALISTA DE PROJETOS DE TIC - BRASILIA/DF";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85144";"Desenvolvedor C# .Net - Mooca";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85145";"Social Media / Criador de conteúdo";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85147";"Analista de Negócios / Sistemas Pleno - Alphaville";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85151";"Líder Técnico Dot.Net";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85152";"Analista de Infraestrutura";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85164";"Especialista Técnico Satélite Sênior";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85168";"Analista de Sistemas Pleno - SBO/SP";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85172";"Analista Funcional/Processos";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85173";"Líder Técnico (Tech Lead .Net)";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85179";"Analista de BI";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85184";"Tech Lead .NET AWS";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85201";"Técnico de Manutenção de Impressoras Pleno";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85221";"Analista Programador / Desenvolvedor";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85239";"Técnico de Suporte - Mogi das Cruzes - SP";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85250";"Dev. Net";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85252";"Desenvolvedor PeopleSoft";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85258";"Analista de Dados";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85266";"Especialista em Observabilidade Mainframe";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85271";"ANALISTA DE CABEAMENTO";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85307";"Analista de Suporte";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85312";"Técnico Eletronico de Campo";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85316";"Técnico Instalador de CFTV Minas Gerais";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85331";"Analista de Sustentação / Operação de Sistemas";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85333";"Líder Operacional - CFTV - Indaiatuba";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85334";"Analista de Sustentação de Openshift";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85335";"Coordenador de Operações de TI";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85337";"Designer de Criação";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85343";"Suporte Técnico";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85353";"Analista de Sistema MV Sênior";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85354";"Engenheiro de Datacenter - Automação";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85355";"Engenheiro de Datacenter - Elétrica";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85356";"Engenheiro de Datacenter - Civil";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85357";"Engenheiro de Datacenter - Prevenção de Incêndio";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85358";"Engenheiro de Datacenter - Mecânica (HVAC)";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85359";"Analista de Suporte N1 - Horário da madrugada";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85362";"Analista de Curadoria de IA LLM RAG";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85363";"Coordenador de TI";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85368";"Coordenador de Suporte";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85370";"Técnico em Impressora";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85385";"Atendente de Suporte Técnico - Grupo Arbo";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85428";"Auxiliar de operações audiovisuais";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85429";"Desenvolvedor Adobe Experience Manager (AEM)";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85430";"Scrum Master";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85434";"ANALISTA DESENVOLVEDOR FULLSTACK .NET";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85435";"DBA DB2 Mainframe";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85446";"Analista de Suporte Storage Mainframe";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85447";"Analista de Produção Industrial";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85455";"Coordenador Suporte";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85469";"Analista de Performance de Dados SR- Híbrido RJ";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85472";"Analista Suporte";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85505";"Desenvolvedor Sharepoint Microsoft Pleno";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85509";"Especialista Sistema Função";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85515";"Funcional Oracle EBS Sênior";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85526";"Especialista em Mediação Telecom – CSG";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85555";"Analista de Redes";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85560";"Consultor Citrix";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85567";"Consultor de Governança, Risco e Compliance (GRC)";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85568";"Desenvolvedor Delphi";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85571";"Analista de Sistemas Pleno Oracle Forms e Reports";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85585";"CIENTISTA DE DADOS PL";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85590";"Engenheiro de Inteligência Artificial";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85594";"CONSULTOR PROTHEUS - TOTVS";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85595";"DESENVOLVEDOR .NET SÊNIOR - CENTRO RIO DE JANEIRO";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85602";"Especialista em Sistemas Sênior";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85611";"Técnico de Suporte em Informática N1";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85614";"Técnico de Informática - Rio de Janeiro/RJ";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85616";"Técnico de Informática - Fortaleza/CE";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85617";"Desenvolvedor Uniface";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85619";"Analista de Suporte de TI (Híbrido) - Osasco/SP";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85620";"Sr. Support Engineer – Informatica PowerCenter";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85624";"Programador .NET PLENO";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85628";"Analista de Suporte Pl. 12X36";"✅";"Forte aderência: há evidência de SQL Server, parte da sua stack dominada."
"85631";"Gerente de Projetos de Infraestrutura";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85642";"Técnico de Áudio Visual.";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85645";"Analista de Redes e Telecomunicações Sênior";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85647";"Arquiteto de Software Sênior";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85649";"Analista de Sistemas de Automação Pl";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85651";"Técnico em Eletrônica";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85655";"Desenvolvedor .Net Core Sr com IA";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85656";"Engenheiro(a) de Automação de Testes Sênior (QA)";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85662";"Estagio Técnico - TI";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85665";"Desenvolvedor Java Pleno";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85674";"Arquiteto de Soluções";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85686";"Analista de OGS/Sustentação";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85687";"ANALISTA DEVOPS";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85692";"Arquiteto(a) de Sistemas Delphi Pleno";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85697";"DBA - Pleno - Hibrido SP";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85699";"Consultor SAP BASIS Sr Remoto";"✅";"Forte aderência: há evidência de SQL Server, parte da sua stack dominada."
"85702";"Desenvolvedor Fullstack .NET e UMBRACO Sênior";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85704";"Especialista MDM";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85705";"Desenvolvedor Full Stack .NET";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85708";"Desenvolvedor Mainframe";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85709";"Scrum Master";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85712";"Analista de Sistemas Sênior";"✅";"Forte aderência: há evidência de SQL Server, parte da sua stack dominada."
"85718";"Consultor de vendas técnico";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85721";"Desenvolvedor Centura (Gupta Team Developer)";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85724";"Analista de TI";"✅";"Forte aderência: há evidência de SQL Server, parte da sua stack dominada."
"85733";"Desenvolvedores(as) .NET";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85746";"Encarregado de construção de rede óptica";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85748";"Consultor Sibel Senior";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85751";"Desenvolvedor Fullstack .NET Pleno";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85753";"Tecnico de Informatica em Campo MG";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85754";"Desenvolvedor Oracle Retail Xstore";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85757";"Analista de Segurança da Informação IDM/IGA";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85759";"Funcional Oracle EBS Sênior";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85762";"Analista Field";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85767";"Analista TOTVS Protheus Sênior";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85775";"GP/ Plataforma de Dados - Híbrido";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85783";"ANALISTA DE SUPORTE VMWare Horizon";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85792";"Analista de Negócios - Pleno";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85799";"Analista de Sistemas - Presencial Jundiaí SP";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85806";"ANALISTA NEGOCIOS TI SR (Reforma Tributária)";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85807";"Analista de Mediação PL – Telefonia Móvel";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85808";"Especialista em Mediação Telecom – CSG";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85809";"Especialista Mastersaf DW/DFE";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85815";"Engenheiro de Dados (Foco em ML / MLOps) - Remoto";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85818";"ANALISTA GOVERNANÇA DE DADOS PLENO";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85820";"Tecnico de suporte hibrida sp capital";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85821";"Analista Mainframe - CICS";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85823";"Engenheiro de Software Sênior (Back End .NET)";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85828";"Desenvolvedor .NET Sênior";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85831";"Analista de Sistemas Sr - Software Básico – z/OS";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85839";"ANALISTA FUNCIONAL MICROSOFT DYNAMICS - HÍBRIDO SP";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85845";"Product Designer Sênior";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85851";"Analista de Suporte Tecnico";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85853";"Operador de Vendas e Serviço de Campo";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85854";"Operador de Vendas e Serviço de Campo";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85861";"Especialista em Data Migration";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85862";"Consultor GRC";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85863";"Consultor Netsuite";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85866";"Client Manager";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85869";"Estágio em Suporte de TI";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85871";"ANALISTA SISTEMAS (Protheus) REFORMA TRIBUTÁRIA";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85873";"ANALISTA SISTEMAS (Protheus) REFORMA TRIBUTÁRIA";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85878";"Desenvolvedores(as) .NET / React";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85880";"ANALISTA SEGURANÇA MAINFRAME IBM";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85883";"Pesquisador(a) de Design Sênior (UX Research)";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85884";"LÍDER DE RETENÇÃO E CHURN";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85885";"Desenvolvedor(a) PowerBuilder Sênior Home Office";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85886";"Analista UX/UI";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85887";"Engenheiro de Dados Sênior";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85889";"Programador VB6 - Zona Leste-SP";"✅";"Forte aderência: há evidência de VB6, parte da sua stack dominada."
"85893";"Consultor Oracle Siebel";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85899";"Programador ADVPL Senior";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85902";"ADMINISTRADOR DE REDE SENIOR (DevOps)";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85906";"Data Governance Data Management Consultant";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85913";"Analista de Redes Mainframe IBM SR";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85937";"Gerente de Projetos - Joinville ou Curitiba -PR";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85944";"Analista de monitoramento Dynatrace Incidentes";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85948";"Assistente de Suporte";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85952";"Líder Técnico de Operações (Sênior)";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85954";"Cientista de Dados Senior";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85962";"Assistente de Suporte Infra-estrutura";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85963";"Analista de Suporte Técnico - N1A";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"85966";"Analista de Operações TI Pleno";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85970";"Analista de Governança de Dados Senior";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85973";"Analista de Testes - Automação";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85974";"Desenvolvedor Cobol";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85977";"Analista de Sistemas MV – Assistencial";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85978";"Analista de Sistema MV Pleno";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
